Kode,Nama,Harga + Pajak,Type Brg,Harga,S Akhir
MCMX-AX364-BK-KGX,TOTAL TOP COVER ASSY 508 NEW (GROUND) BLACK,Rp55.500,,50000,2
MCMX-AX365-WH-KGX,TOTAL TOP COVER ASSY 528 NEW (GROUND) WHITE,Rp55.500,,50000,2
MCMX-AX366-PK-KGX,TOTAL TOP COVER ASSY 509 NEW (GROUND) PINK,Rp55.500,,50000,5
MCMX-AX367-PL-KGX,TOTAL TOP COVER ASSY 507 NEW (GROUND) PEARL,Rp55.500,,50000,16
MCMX-AX373-WH-KGX,TOTAL TOP COVER ASSY 609 (GROUND) WHITE,Rp38.850,,35000,2
MCMX-AX387-XX-KGX,TOTAL SIDE ELEMENT ASSY MCM-508 (396.5 OHM),Rp16.650,,15000,2
MCMX-AX394-XX-KGX,TOTAL SIDE ELEMENT ASSY MCM-512 (600 OHM),Rp16.650,,15000,8
MCMX-AX397-RG-KGX,OUT CASE ASSY 508 (B) ROSE GOLD HE,Rp33.300,,30000,6
MCMX-AX403-XX-KGX,OUT CASE ASSY 721 (HE),Rp22.200,,20000,13
MCMX-EA046-XX-KGX,WIRING ASSY MCM-707 (E),Rp13.320,,12000,12
MCMX-EA054-XX-KGX,WIRING ASSY MCM-507 (A),Rp13.320,,12000,72
MCMX-EA066-XX-KGX,WIRING ASSY MCM-606 (C),Rp13.320,,12000,12
MCMX-EA092-XX-KGX,WIRING ASSY MCM-507 (B),Rp13.320,,12000,20
MCMX-EA101-XX-KGX,CENTER THERMOSTAT ASSY (H) 145-153 DEGREES C,Rp11.100,,10000,8
MCMX-EA261-CD-KGX,THERMOSTAT ASSY 81N 250V 5A WITH HOLDER (CD),Rp11.100,,10000,8
MCMX-EA305-XX-KGX,CENTER THERMOSTAT ASSY MCG-171 (142 DEGREES C-150 DEGREES C),Rp11.100,,10000,4
MCMX-EA328-XX-KGX,WIRING ASSY MCM-610 (B),Rp13.320,,12000,5
MCMX-EA347-XX-KGX,PCB ASSY MCM-612,Rp16.650,,15000,5
MCMX-EA348-XX-KGX,PCB ASSY MCM-606 A,Rp16.650,,15000,15
MCMX-EA350-XX-KGX,PCB ASSY MCM-838,Rp16.650,,15000,8
MCMX-EA355-XX-KGX,WIRING ASSY MCM-838 (C) R3,Rp6.660,,6000,19
MCMX-EA368-XX-KGX,PCB ASSY MCG-171,Rp22.200,,20000,4
MCMX-EA371-XX-KGX,WIRING ASSY MCG-171 (E) R1,Rp16.650,,15000,5
MCMX-EA375-MS-KGX,PCB ASSY MCM-508 (A) R1 MAS,Rp16.650,,15000,4
MCMX-EA377-MS-KGX,TOP ELEMENT ASSY MCG-171 (R2) MAS,Rp19.980,,18000,5
MCMX-EA378-XX-KGX,PCB ASSY MCM-610 (R1),Rp16.650,,15000,6
MCMX-EA381-XX-KGX,PCB ASSY MCM-509 (B),Rp16.650,,15000,5
MCMX-EA439-XX-KGX,PCB ASSY MCM-606 B (R.1),Rp16.650,,15000,3
MCMX-EA441-XX-KGX,PCB ASSY MCM-721 LST (R.1),Rp22.200,,20000,6
MCMX-EA450-XX-KGX,PCB ASSY MCM-606 A (R.1),Rp16.650,,15000,4
MCMX-EA479-XX-KGX,PCB ASSY MCM-638 (B),Rp16.650,,15000,2
MCMX-EA483-MS-KGX,POWER CORD ASSY MCG-171 (SNI) GROUND - MAS,Rp44.400,,40000,4
MCMX-EA488-XX-KGX,TOTAL HEATING PLATE ASSY 528 GROUND (395W 220V),Rp44.400,,40000,1
MCMX-EA489-XX-KGX,TOTAL HEATING PLATE ASSY 512 GROUND (300W 220V),Rp33.300,,30000,5
MCMX-EA496-XX-KGX,TOTAL HEATING PLATE ASSY 528 GROUND (395W 220V) R1,Rp74.370,,67000,5
MCMX-EA498-XX-KGX,TOTAL HEATING PLATE ASSY 838 GROUND (450W 220V) R1,Rp51.060,,46000,2
MCMX-EA499-XX-KGX,PCB ASSY MCM-516 (B),Rp17.760,,16000,13
MCMX-EA530-XX-KGX,SIDE ELEMENT ASSY MCM-935 (396.5 OHM),Rp11.100,,10000,2
MCMX-EA549-XX-KGX,PCB ASSY MCG-751,Rp16.650,,15000,5
MCMX-EA560-XX-KGX,PCB ASSY MCM-18 BH (C),Rp16.650,,15000,5
MCMX-EX018-XX-KGX,VENTILATION SILICONE 606,Rp6.660,,6000,2
MCMX-EX021-XX-KGX,COVER RING SILICONE 507 (C),Rp14.985,,13500,11
MCMX-EX022-XX-KGX,COVER RING SILICONE 838,Rp11.100,,10000,2
MCMX-EX032-XX-KGX,VENTILATION SILICONE 607,Rp6.660,,6000,3
MCMX-EX034-XX-KGX,COVER RING SILICONE 507 (E),Rp19.980,,18000,3
MCMX-EX036-XX-KGX,COVER RING SILICONE 606 (B),Rp11.100,,10000,7
MCMX-EX037-XX-KGX,COVER RING SILICONE 610,Rp11.100,,10000,5
MCMX-EX041-XX-KGX,COVER RING SILICONE 607 (B) R2,Rp11.100,,10000,5
MCMX-EX042-XX-KGX,COVER RING SILICONE 512,Rp13.320,,12000,2
MCMX-MX019-XX-KGX,HINGE 706,Rp6.660,,6000,3
MCMX-MX058-SP-KGX,ALUMINIUM PAN 606 (SPRAY) BLACK,Rp31.635,,28500,2
MCMX-MX082-SP-KGX,ALUMINIUM PAN 838 (SPRAY),Rp76.590,,69000,11
MCMX-MX112-AN-KGX,TOP COVER BASE 507 (C) ANODIZE,Rp13.320,,12000,4
MCMX-MX126-GY-KGX,ALUMINIUM PAN 171 (1.5 MM) GREY,Rp239.982,,216200,5
MCMX-MX161-XX-KGX,ALUMINIUM PAN 528 (STAMPING),Rp51.060,,46000,2
MCMX-MX164-XX-KGX,ALUMINIUM PAN 610,Rp38.806,,34960,2
MCMX-MX201-SP-KGX,ALUMINIUM PAN 1.2 L (SPRAY),Rp38.806,,34960,7
MCMX-MX222-XX-KGX,LEVER HOUSING 607 (B),Rp6.660,,6000,8
MCMX-MX248-PN-KGX,INNER CASE 528 (R3) PAINT.,Rp24.420,,22000,2
MCMX-MX251-GY-KGX,ALUMINIUM PAN 2 L (NANOAL) GREY,Rp66.600,,60000,4
MCMX-MX254-GY-KGX,ALUMINIUM PAN 1.8 L SBC (GREY),Rp61.050,,55000,11
MCMX-MX303-BX-KGX,ALUMINIUM PAN MCM-18 BH (B)-B R1,Rp85.470,,77000,11
MCMX-PX006-TR-KGX,WATER COLLECTOR 507 (TRANSPARENT),Rp6.660,,6000,6
MCMX-PX081-PK-KGX,STEAM VENT COVER 507 (PINK),Rp6.660,,6000,6
MCMX-PX082-PK-KGX,STEAM VENT HOLDER 507 (PINK),Rp6.660,,6000,5
MCMX-PX086-BL-KGX,STEAM VENT HOLDER 606 (BLUE),Rp6.660,,6000,2
MCMX-PX087-BL-KGX,STEAM VENT COVER 606 (BLUE),Rp6.660,,6000,3
MCMX-PX089-BL-KGX,CLAMP KNOB 606 (BLUE),Rp6.660,,6000,5
MCMX-PX099-TR-KGX,STEAMER 606 (TRANSPARENT),Rp6.660,,6000,2
MCMX-PX115-BK-KGX,FRONT FRAME MCM-18 BH (BLACK),Rp6.660,,6000,2
MCMX-PX115-PL-KGX,FRONT FRAME MCM-18 BH (PEARL),Rp6.660,,6000,3
MCMX-PX162-TR-KGX,STEAMER MCM-838 (TRANSPARENT),Rp8.880,,8000,2
MCMX-PX166-TR-KGX,WATER COLLECTOR 508 (C),Rp6.660,,6000,5
MCMX-PX259-WH-KGX,CLAMP KNOB 528 (WHITE),Rp6.660,,6000,5
MCMX-PX274-BG-KGX,TOP COVER 507 (D) BEIGE,Rp13.320,,12000,5
MCMX-PX292-PL-KGX,OUT CASE RING 507 (E) PEARL,Rp11.100,,10000,7
MCMX-PX294-BG-KGX,TOP LOWER COVER 507 (E) BEIGE,Rp13.320,,12000,2
MCMX-PX301-BK-KGX,CLAMP KNOB 606 (B) BLACK,Rp6.660,,6000,2
MCMX-PX301-BL-KGX,CLAMP KNOB 606 (B) BLUE,Rp6.660,,6000,5
MCMX-PX334-TR-KGX,WATER COLLECTOR 606 (C),Rp6.660,,6000,2
MCMX-PX335-TR-KGX,STEAMER 612 (B) TRANSPARENT,Rp6.660,,6000,2
MCMX-PX348-BK-KGX,CLAMP KNOB 508 (C) BLACK,Rp6.660,,6000,5
MCMX-PX353-BG-KGX,STEAM VENT HOLDER 638 (B) BEIGE,Rp6.660,,6000,5
MCMX-PX354-BG-KGX,STEAM VENT COVER 638 (B) BEIGE,Rp6.660,,6000,2
MCMX-PX368-BG-KGX,LEVER KNOB 607 (BEIGE),Rp6.660,,6000,3
MCMX-PX371-BG-KGX,CLAMP KNOB 607 (BEIGE),Rp6.660,,6000,3
MCMX-PX383-WH-KGX,TOP COVER 612 (B) WHITE,Rp13.320,,12000,4
MCMX-PX427-WH-KGX,LEVER KNOB 638 (D) WHITE,Rp6.660,,6000,5
MCMX-PX478-BK-KGX,BASE COVER 508 (H) BLACK,Rp14.430,,13000,2
MCMX-PX484-BK-KGX,FRONT FRAME 508 (D) V-0 (BLACK),Rp6.660,,6000,4
MCMX-PX486-BK-KGX,LEVER KNOB 508 (E) BLACK,Rp6.660,,6000,4
MCMX-PX486-WH-KGX,LEVER KNOB 508 (E) WHITE,Rp6.660,,6000,2
MCMX-PX488-BS-KGX,FRONT FRAME MCG-171 (BLACK) SABLON,Rp11.100,,10000,2
MCMX-PX489-BK-KGX,FRONT FRAME HOLDER MCG-171 (BLACK),Rp11.100,,10000,5
MCMX-PX492-WH-KGX,SPOON 508 (WHITE),Rp6.660,,6000,3
MCMX-PX494-VI-KGX,BASE COVER 507 (H) VIOLET,Rp16.650,,15000,3
MCMX-PX495-BL-KGX,BASE COVER 612 (C) BLUE WITH LABEL,Rp14.985,,13500,5
MCMX-PX496-PL-KGX,LEVER KNOB 507 (E) PEARL,Rp6.660,,6000,5
MCMX-PX499-BG-KGX,BODY 612 (D) BEIGE,Rp16.650,,15000,2
MCMX-PX503-BK-KGX,LEVER KNOB 171 (BLACK),Rp11.100,,10000,2
MCMX-PX509-BK-KGX,CLAMP KNOB 512 (BLACK),Rp6.660,,6000,2
MCMX-PX509-BL-KGX,CLAMP KNOB 512 (BLUE),Rp6.660,,6000,2
MCMX-PX509-LP-KGX,CLAMP KNOB 512 (LIGHT PINK),Rp6.660,,6000,4
